keywords,bid,views,clicks,conversions,total costs
spiral bound notebook,22,2525,437.0,25.0,9614.0
kids notebook,14,1989,249.0,13.0,3486.0
college ruled notebook,23,3947,582.0,44.0,13386.0
notebook with pen holder,25,2278,219.0,30.0,5475.0
hardcover notebook,19,1513,159.0,21.0,3021.0
hardcover notebook,19,3029,317.0,43.0,6023.0
dotted grid notebook,21,4778,349.0,50.0,7329.0
dotted grid notebook,21,1241,91.0,13.0,1911.0
recycled paper notebook,24,3196,420.0,33.0,10080.0
engineering notebook,21,2733,313.0,18.0,6573.0
dotted grid notebook,21,4370,319.0,46.0,6699.0
large notebook,15,3804,365.0,26.0,5475.0
engineering notebook,21,4921,564.0,33.0,11844.0
travelers notebook,19,3667,503.0,37.0,9557.0
graph paper notebook,21,3500,362.0,43.0,7602.0
plain paper,12,4464,489.0,55.0,5868.0
vintage notebook,17,3259,212.0,13.0,3604.0
art sketchbook,15,1667,162.0,11.0,2430.0
plain paper,12,4609,505.0,57.0,6060.0
notebook with pockets,22,1593,311.0,22.0,6842.0
travelers notebook,19,4666,640.0,47.0,12160.0
personalized notebook,22,3178,513.0,65.0,11286.0
college ruled notebook,23,4400,649.0,49.0,14927.0
vintage notebook,17,3659,238.0,15.0,4046.0
engineering notebook,21,1255,144.0,8.0,3024.0
graph paper notebook,21,2502,259.0,31.0,5439.0
kids notebook,14,1560,195.0,10.0,2730.0
notebook with pockets,22,4984,972.0,68.0,21384.0
travelers notebook,19,3110,427.0,32.0,8113.0
art sketchbook,15,2334,228.0,16.0,3420.0
notebook with pockets,22,1406,274.0,19.0,6028.0
vintage notebook,17,3849,250.0,15.0,4250.0
notebook with pockets,22,4176,814.0,57.0,17908.0
engineering notebook,21,4688,538.0,31.0,11298.0
dotted grid notebook,21,2860,209.0,30.0,4389.0
notebook with pockets,22,3062,597.0,42.0,13134.0
engineering notebook,21,2710,311.0,18.0,6531.0
notebook with pen holder,25,1258,121.0,17.0,3025.0
notebook with pockets,22,1722,336.0,23.0,7392.0
vintage notebook,17,4483,291.0,18.0,4947.0
kids notebook,14,2282,286.0,14.0,4004.0
academic planner notebook,26,1613,137.0,12.0,3562.0
college ruled notebook,23,4331,639.0,48.0,14697.0
college ruled notebook,23,4927,727.0,55.0,16721.0
notebook with pockets,22,2694,525.0,37.0,11550.0
academic planner notebook,26,4116,349.0,31.0,9074.0
softcover notebook,19,2978,247.0,26.0,4693.0
notebook with pen holder,25,1812,174.0,24.0,4350.0
college ruled notebook,23,2786,411.0,31.0,9453.0
art sketchbook,15,1330,130.0,9.0,1950.0
kids notebook,14,3212,402.0,20.0,5628.0
waterproof notebook,20,2216,411.0,33.0,8220.0
college ruled notebook,23,2544,375.0,28.0,8625.0
hardcover notebook,19,4472,469.0,63.0,8911.0
art sketchbook,15,2397,234.0,17.0,3510.0
plain paper,12,4136,453.0,51.0,5436.0
notebook with pockets,22,1386,270.0,19.0,5940.0
art sketchbook,15,2518,245.0,17.0,3675.0
graph paper notebook,21,2817,291.0,35.0,6111.0
college ruled notebook,23,4764,703.0,53.0,16169.0
spiral bound notebook,22,4486,777.0,45.0,17094.0
kids notebook,14,2817,352.0,18.0,4928.0
notebook with pen holder,25,2814,270.0,37.0,6750.0
vintage notebook,17,4101,266.0,16.0,4522.0
large notebook,15,4337,416.0,30.0,6240.0
recycled paper notebook,24,3375,443.0,34.0,10632.0
recycled paper notebook,24,2515,330.0,26.0,7920.0
college ruled notebook,23,2240,330.0,25.0,7590.0
waterproof notebook,20,1319,245.0,20.0,4900.0
plain paper,12,4989,546.0,62.0,6552.0
kids notebook,14,1398,175.0,9.0,2450.0
art sketchbook,15,2914,284.0,20.0,4260.0
vintage notebook,17,1104,72.0,4.0,1224.0
notebook with pen holder,25,1695,163.0,22.0,4075.0
kids notebook,14,4064,509.0,26.0,7126.0
large notebook,15,1329,127.0,9.0,1905.0
notebook with pen holder,25,1659,159.0,22.0,3975.0
hardcover notebook,19,4688,491.0,66.0,9329.0
leather cover notebook,23,4118,256.0,25.0,5888.0
large notebook,15,3646,349.0,25.0,5235.0
college ruled notebook,23,1820,268.0,20.0,6164.0
kids notebook,14,2972,372.0,19.0,5208.0
hardcover notebook,19,3688,387.0,52.0,7353.0
notebook with pen holder,25,2793,268.0,37.0,6700.0
plain paper,12,3361,368.0,42.0,4416.0
large notebook,15,4218,404.0,29.0,6060.0
waterproof notebook,20,1461,271.0,22.0,5420.0
waterproof notebook,20,2607,484.0,39.0,9680.0
travelers notebook,19,3533,485.0,36.0,9215.0
softcover notebook,19,2675,222.0,24.0,4218.0
spiral bound notebook,22,3457,599.0,35.0,13178.0
engineering notebook,21,3074,352.0,21.0,7392.0
leather cover notebook,23,4100,255.0,25.0,5865.0
waterproof notebook,20,1270,236.0,19.0,4720.0
softcover notebook,19,3733,310.0,33.0,5890.0
art sketchbook,15,3548,346.0,25.0,5190.0
vintage notebook,17,4324,281.0,17.0,4777.0
recycled paper notebook,24,1384,182.0,14.0,4368.0
vintage notebook,17,1059,69.0,4.0,1173.0
kids notebook,14,2130,267.0,14.0,3738.0
college ruled notebook,23,1219,180.0,14.0,4140.0
softcover notebook,19,2464,204.0,22.0,3876.0
college ruled notebook,23,3818,563.0,42.0,12949.0
spiral bound notebook,22,2906,503.0,29.0,11066.0
art sketchbook,15,4729,461.0,33.0,6915.0
plain paper,12,3611,396.0,45.0,4752.0
kids notebook,14,2595,325.0,16.0,4550.0
hardcover notebook,19,3593,377.0,51.0,7163.0
leather cover notebook,23,1095,68.0,7.0,1564.0
engineering notebook,21,1988,228.0,13.0,4788.0
travelers notebook,19,2112,290.0,21.0,5510.0
recycled paper notebook,24,3875,509.0,40.0,12216.0
plain paper,12,2945,323.0,37.0,3876.0
large notebook,15,3278,314.0,23.0,4710.0
personalized notebook,22,1967,317.0,40.0,6974.0
engineering notebook,21,3322,381.0,22.0,8001.0
leather cover notebook,23,1245,77.0,8.0,1771.0
leather cover notebook,23,3158,196.0,19.0,4508.0
graph paper notebook,21,1233,128.0,15.0,2688.0
dotted grid notebook,21,4349,317.0,46.0,6657.0
plain paper,12,4548,498.0,56.0,5976.0
personalized notebook,22,3464,559.0,71.0,12298.0
large notebook,15,3725,357.0,26.0,5355.0
engineering notebook,21,2151,247.0,14.0,5187.0
personalized notebook,22,2260,365.0,46.0,8030.0
notebook with pockets,22,1802,351.0,25.0,7722.0
recycled paper notebook,24,3666,481.0,37.0,11544.0
waterproof notebook,20,4199,780.0,63.0,15600.0
notebook with pockets,22,3754,732.0,51.0,16104.0
art sketchbook,15,3898,380.0,27.0,5700.0
college ruled notebook,23,2417,357.0,27.0,8211.0
notebook with pockets,22,3522,687.0,48.0,15114.0
waterproof notebook,20,1654,307.0,25.0,6140.0
dotted grid notebook,21,3442,251.0,36.0,5271.0
notebook with pen holder,25,1110,107.0,15.0,2675.0
plain paper,12,1089,119.0,13.0,1428.0
academic planner notebook,26,1762,149.0,13.0,3874.0
vintage notebook,17,2303,150.0,9.0,2550.0
dotted grid notebook,21,2356,172.0,25.0,3612.0
travelers notebook,19,4295,590.0,44.0,11210.0
waterproof notebook,20,4172,775.0,63.0,15500.0
spiral bound notebook,22,3179,551.0,32.0,12122.0
academic planner notebook,26,2036,173.0,15.0,4498.0
plain paper,12,3504,384.0,43.0,4608.0
leather cover notebook,23,2464,153.0,15.0,3519.0
travelers notebook,19,1097,151.0,11.0,2869.0
graph paper notebook,21,2143,222.0,27.0,4662.0
art sketchbook,15,1292,126.0,9.0,1890.0
recycled paper notebook,24,2839,373.0,29.0,8952.0
spiral bound notebook,22,2734,474.0,27.0,10428.0
dotted grid notebook,21,2024,148.0,21.0,3108.0
graph paper notebook,21,3619,374.0,45.0,7854.0
plain paper,12,3297,361.0,41.0,4332.0
notebook with pockets,22,1651,322.0,23.0,7084.0
leather cover notebook,23,3196,199.0,20.0,4577.0
graph paper notebook,21,4466,462.0,55.0,9702.0
personalized notebook,22,3091,499.0,63.0,10978.0
recycled paper notebook,24,2906,382.0,30.0,9168.0
graph paper notebook,21,2721,282.0,34.0,5922.0
notebook with pen holder,25,4691,450.0,62.0,11250.0
plain paper,12,2067,226.0,26.0,2712.0
personalized notebook,22,4149,670.0,85.0,14740.0
academic planner notebook,26,4297,364.0,32.0,9464.0
vintage notebook,17,3209,208.0,13.0,3536.0
recycled paper notebook,24,2816,370.0,29.0,8880.0
academic planner notebook,26,1252,106.0,9.0,2756.0
notebook with pockets,22,1131,220.0,15.0,4840.0
waterproof notebook,20,4519,839.0,68.0,16780.0
plain paper,12,2907,318.0,36.0,3816.0
travelers notebook,19,2910,399.0,29.0,7581.0
kids notebook,14,3521,441.0,22.0,6174.0
college ruled notebook,23,2679,395.0,30.0,9085.0
spiral bound notebook,22,4849,840.0,49.0,18480.0
college ruled notebook,23,2132,315.0,24.0,7245.0
travelers notebook,19,3753,515.0,38.0,9785.0
notebook with pen holder,25,2058,197.0,27.0,4925.0
travelers notebook,19,4538,623.0,46.0,11837.0
spiral bound notebook,22,2925,507.0,29.0,11154.0
notebook with pockets,22,3322,648.0,45.0,14256.0
vintage notebook,17,1186,77.0,5.0,1309.0
notebook with pen holder,25,1948,187.0,26.0,4675.0
large notebook,15,3290,315.0,23.0,4725.0
plain paper,12,1263,138.0,16.0,1656.0
hardcover notebook,19,2997,314.0,42.0,5966.0
leather cover notebook,23,1521,95.0,9.0,2185.0
kids notebook,14,4010,502.0,25.0,7028.0
spiral bound notebook,22,4749,823.0,48.0,18106.0
hardcover notebook,19,2564,269.0,36.0,5111.0
engineering notebook,21,1782,204.0,12.0,4284.0
college ruled notebook,23,4158,613.0,46.0,14099.0
large notebook,15,1534,147.0,11.0,2205.0
engineering notebook,21,1209,139.0,8.0,2919.0
travelers notebook,19,3093,425.0,31.0,8075.0
notebook with pockets,22,4538,885.0,62.0,19470.0
academic planner notebook,26,2563,217.0,19.0,5642.0
travelers notebook,19,1025,141.0,10.0,2679.0
plain paper,12,4337,475.0,54.0,5700.0
dotted grid notebook,21,1174,86.0,12.0,1806.0
plain paper,12,2539,278.0,31.0,3336.0
dotted grid notebook,21,2334,170.0,24.0,3570.0
dotted grid notebook,21,1321,96.0,14.0,2016.0
notebook with pen holder,25,2602,250.0,34.0,6250.0
notebook with pockets,22,2158,421.0,29.0,9262.0
kids notebook,14,1054,132.0,7.0,1848.0
travelers notebook,19,2566,352.0,26.0,6688.0
notebook with pen holder,25,2609,250.0,34.0,6250.0
recycled paper notebook,24,4602,604.0,47.0,14496.0
vintage notebook,17,4227,274.0,17.0,4658.0
large notebook,15,2872,275.0,20.0,4125.0
large notebook,15,3715,356.0,26.0,5340.0
art sketchbook,15,3194,311.0,22.0,4665.0
leather cover notebook,23,2508,156.0,15.0,3588.0
personalized notebook,22,3646,588.0,74.0,12936.0
personalized notebook,22,3067,495.0,62.0,10890.0
college ruled notebook,23,4340,640.0,48.0,14720.0
graph paper notebook,21,1332,138.0,17.0,2898.0
plain paper,12,2578,282.0,32.0,3384.0
personalized notebook,22,1906,308.0,39.0,6776.0
college ruled notebook,23,3991,589.0,44.0,13547.0
leather cover notebook,23,1910,119.0,12.0,2737.0
personalized notebook,22,1400,226.0,29.0,4972.0
notebook with pockets,22,1949,380.0,27.0,8360.0
notebook with pockets,22,2329,454.0,32.0,9988.0
recycled paper notebook,24,3075,404.0,31.0,9696.0
notebook with pockets,22,3514,685.0,48.0,15070.0
hardcover notebook,19,4331,454.0,61.0,8626.0
personalized notebook,22,4605,743.0,94.0,16346.0
softcover notebook,19,4029,334.0,36.0,6346.0
college ruled notebook,23,2910,429.0,32.0,9867.0
notebook with pen holder,25,1100,106.0,15.0,2650.0
notebook with pockets,22,1550,302.0,21.0,6644.0
leather cover notebook,23,3849,239.0,24.0,5497.0
softcover notebook,19,3400,282.0,30.0,5358.0
graph paper notebook,21,4371,452.0,54.0,9492.0
notebook with pen holder,25,2705,260.0,36.0,6500.0
art sketchbook,15,3343,326.0,23.0,4890.0
personalized notebook,22,1352,218.0,28.0,4796.0
hardcover notebook,19,3955,415.0,56.0,7885.0
dotted grid notebook,21,4201,307.0,44.0,6447.0
academic planner notebook,26,2018,171.0,15.0,4446.0
hardcover notebook,19,2179,228.0,31.0,4332.0
recycled paper notebook,24,2097,275.0,21.0,6600.0
softcover notebook,19,4413,366.0,39.0,6954.0
vintage notebook,17,4536,295.0,18.0,5015.0
notebook with pockets,22,4161,811.0,57.0,17842.0
vintage notebook,17,4650,302.0,19.0,5134.0
waterproof notebook,20,3502,650.0,53.0,13000.0
hardcover notebook,19,4819,505.0,68.0,9595.0
vintage notebook,17,3759,244.0,15.0,4148.0
dotted grid notebook,21,1979,144.0,21.0,3024.0
college ruled notebook,23,2355,347.0,26.0,7981.0
softcover notebook,19,1738,144.0,15.0,2736.0
notebook with pen holder,25,1976,190.0,26.0,4750.0
art sketchbook,15,2371,231.0,16.0,3465.0
art sketchbook,15,3280,320.0,23.0,4800.0
engineering notebook,21,2801,321.0,19.0,6741.0
vintage notebook,17,4669,303.0,19.0,5151.0
large notebook,15,4071,390.0,28.0,5850.0
art sketchbook,15,3149,307.0,22.0,4605.0
recycled paper notebook,24,1952,256.0,20.0,6144.0
vintage notebook,17,1480,96.0,6.0,1632.0
notebook with pockets,22,2237,436.0,30.0,9592.0
waterproof notebook,20,1107,206.0,17.0,4120.0
large notebook,15,4236,406.0,29.0,6090.0
personalized notebook,22,1972,318.0,40.0,6996.0
academic planner notebook,26,2626,223.0,20.0,5798.0
plain paper,12,1703,187.0,21.0,2244.0
large notebook,15,3382,324.0,23.0,4860.0
leather cover notebook,23,3133,195.0,19.0,4485.0
travelers notebook,19,3781,519.0,38.0,9861.0
notebook with pen holder,25,1874,180.0,25.0,4500.0
personalized notebook,22,2447,395.0,50.0,8690.0
vintage notebook,17,4684,304.0,19.0,5168.0
hardcover notebook,19,4809,504.0,68.0,9576.0
notebook with pockets,22,3411,665.0,46.0,14630.0
spiral bound notebook,22,3107,538.0,31.0,11836.0
academic planner notebook,26,4553,386.0,34.0,10036.0
art sketchbook,15,2273,222.0,16.0,3330.0
kids notebook,14,1559,195.0,10.0,2730.0
softcover notebook,19,1116,93.0,10.0,1767.0
academic planner notebook,26,4810,408.0,36.0,10608.0
recycled paper notebook,24,1873,246.0,19.0,5904.0
personalized notebook,22,3962,639.0,81.0,14058.0
plain paper,12,1967,215.0,24.0,2580.0
large notebook,15,4046,388.0,28.0,5820.0
recycled paper notebook,24,2568,337.0,26.0,8088.0
plain paper,12,1043,114.0,13.0,1368.0
academic planner notebook,26,1508,128.0,11.0,3328.0
academic planner notebook,26,3011,255.0,23.0,6630.0
art sketchbook,15,2188,213.0,15.0,3195.0
large notebook,15,4439,426.0,31.0,6390.0
vintage notebook,17,4928,320.0,20.0,5440.0
waterproof notebook,20,2315,430.0,35.0,8600.0
engineering notebook,21,1848,212.0,12.0,4452.0
notebook with pockets,22,2879,561.0,39.0,12342.0
personalized notebook,22,1916,309.0,39.0,6798.0
softcover notebook,19,3945,327.0,35.0,6213.0
personalized notebook,22,1798,290.0,37.0,6380.0
hardcover notebook,19,1875,197.0,26.0,3743.0
recycled paper notebook,24,2760,362.0,28.0,8688.0
vintage notebook,17,3333,216.0,13.0,3672.0
engineering notebook,21,4275,490.0,29.0,10290.0
leather cover notebook,23,3731,232.0,23.0,5336.0
kids notebook,14,4595,575.0,29.0,8050.0
notebook with pockets,22,1818,354.0,25.0,7788.0
large notebook,15,3168,304.0,22.0,4560.0
academic planner notebook,26,1944,165.0,15.0,4290.0
waterproof notebook,20,4827,896.0,73.0,17920.0
art sketchbook,15,4735,462.0,33.0,6930.0
spiral bound notebook,22,4735,820.0,47.0,18040.0
art sketchbook,15,4065,396.0,28.0,5940.0
leather cover notebook,23,4259,265.0,26.0,6095.0
softcover notebook,19,1906,158.0,17.0,3002.0
kids notebook,14,1012,127.0,6.0,1778.0
waterproof notebook,20,1602,297.0,24.0,5940.0
hardcover notebook,19,1199,126.0,17.0,2394.0
dotted grid notebook,21,3633,265.0,38.0,5565.0
hardcover notebook,19,2791,293.0,39.0,5567.0
notebook with pockets,22,4527,883.0,62.0,19426.0
spiral bound notebook,22,1447,251.0,15.0,5522.0
personalized notebook,22,2811,454.0,57.0,9988.0
leather cover notebook,23,4911,305.0,30.0,7015.0
leather cover notebook,23,1840,114.0,11.0,2622.0
travelers notebook,19,4142,569.0,42.0,10811.0
graph paper notebook,21,1589,164.0,20.0,3444.0
vintage notebook,17,4867,316.0,20.0,5372.0
waterproof notebook,20,2153,400.0,32.0,8000.0
travelers notebook,19,3936,540.0,40.0,10260.0
academic planner notebook,26,3090,262.0,23.0,6812.0
plain paper,12,1519,166.0,19.0,1992.0
vintage notebook,17,2036,132.0,8.0,2244.0
engineering notebook,21,1724,198.0,12.0,4158.0
spiral bound notebook,22,3670,636.0,37.0,13992.0
notebook with pen holder,25,1987,191.0,26.0,4775.0
engineering notebook,21,1802,207.0,12.0,4347.0
college ruled notebook,23,3582,528.0,40.0,12144.0
academic planner notebook,26,3349,284.0,25.0,7384.0
waterproof notebook,20,4837,898.0,73.0,17960.0
recycled paper notebook,24,1526,200.0,16.0,4800.0
travelers notebook,19,2665,366.0,27.0,6954.0
plain paper,12,4644,509.0,58.0,6108.0
dotted grid notebook,21,2138,156.0,22.0,3276.0
notebook with pockets,22,1459,284.0,20.0,6248.0
large notebook,15,3879,372.0,27.0,5580.0
graph paper notebook,21,3552,367.0,44.0,7707.0
leather cover notebook,23,4379,272.0,27.0,6256.0
leather cover notebook,23,1931,120.0,12.0,2760.0
hardcover notebook,19,2986,313.0,42.0,5947.0
notebook with pockets,22,1324,258.0,18.0,5676.0
dotted grid notebook,21,1578,115.0,17.0,2415.0
large notebook,15,3808,365.0,26.0,5475.0
engineering notebook,21,4246,487.0,29.0,10227.0
notebook with pockets,22,3898,760.0,53.0,16720.0
recycled paper notebook,24,2537,333.0,26.0,7992.0
large notebook,15,4243,407.0,29.0,6105.0
art sketchbook,15,4007,391.0,28.0,5865.0
art sketchbook,15,3549,346.0,25.0,5190.0
notebook with pockets,22,3000,585.0,41.0,12870.0
large notebook,15,3381,324.0,23.0,4860.0
large notebook,15,3331,319.0,23.0,4785.0
graph paper notebook,21,1474,152.0,18.0,3192.0
academic planner notebook,26,2077,176.0,16.0,4576.0
hardcover notebook,19,2481,260.0,35.0,4940.0
dotted grid notebook,21,2602,190.0,27.0,3990.0
spiral bound notebook,22,2443,423.0,24.0,9306.0
waterproof notebook,20,4685,870.0,71.0,17400.0
leather cover notebook,23,1631,101.0,10.0,2323.0
plain paper,12,1702,186.0,21.0,2232.0
travelers notebook,19,3456,474.0,35.0,9006.0
dotted grid notebook,21,1981,145.0,21.0,3045.0
large notebook,15,2327,223.0,16.0,3345.0
dotted grid notebook,21,2958,216.0,31.0,4536.0
large notebook,15,1558,149.0,11.0,2235.0
plain paper,12,1221,134.0,15.0,1608.0
personalized notebook,22,2556,413.0,52.0,9086.0
recycled paper notebook,24,3205,421.0,33.0,10104.0
dotted grid notebook,21,1347,98.0,14.0,2058.0
hardcover notebook,19,2182,229.0,31.0,4351.0
notebook with pen holder,25,1888,181.0,25.0,4525.0
leather cover notebook,23,4955,308.0,30.0,7084.0
travelers notebook,19,1921,264.0,20.0,5016.0
plain paper,12,2258,247.0,28.0,2964.0
hardcover notebook,19,3709,389.0,52.0,7391.0
graph paper notebook,21,1404,145.0,17.0,3045.0
notebook with pen holder,25,2280,219.0,30.0,5475.0
leather cover notebook,23,1676,104.0,10.0,2392.0
softcover notebook,19,1588,132.0,14.0,2508.0
art sketchbook,15,2620,255.0,18.0,3825.0
graph paper notebook,21,3605,373.0,45.0,7833.0
leather cover notebook,23,3952,246.0,24.0,5658.0
softcover notebook,19,4984,413.0,44.0,7847.0
academic planner notebook,26,4118,349.0,31.0,9074.0
leather cover notebook,23,4284,266.0,26.0,6118.0
academic planner notebook,26,3526,299.0,27.0,7774.0
notebook with pockets,22,3534,689.0,48.0,15158.0
art sketchbook,15,2594,253.0,18.0,3795.0
notebook with pen holder,25,1565,150.0,21.0,3750.0
academic planner notebook,26,4413,374.0,33.0,9724.0
college ruled notebook,23,3571,527.0,40.0,12121.0
large notebook,15,1703,163.0,12.0,2445.0
notebook with pen holder,25,4574,439.0,60.0,10975.0
plain paper,12,4077,447.0,51.0,5364.0
notebook with pen holder,25,3868,371.0,51.0,9275.0
academic planner notebook,26,4215,357.0,32.0,9282.0
academic planner notebook,26,1857,157.0,14.0,4082.0
kids notebook,14,2284,286.0,14.0,4004.0
graph paper notebook,21,1584,164.0,20.0,3444.0
college ruled notebook,23,3733,551.0,41.0,12673.0
softcover notebook,19,1231,102.0,11.0,1938.0
notebook with pen holder,25,3317,318.0,44.0,7950.0
kids notebook,14,3987,499.0,25.0,6986.0
softcover notebook,19,4518,375.0,40.0,7125.0
dotted grid notebook,21,3921,286.0,41.0,6006.0
academic planner notebook,26,2245,190.0,17.0,4940.0
travelers notebook,19,1051,144.0,11.0,2736.0
academic planner notebook,26,3163,268.0,24.0,6968.0
recycled paper notebook,24,1537,202.0,16.0,4848.0
spiral bound notebook,22,4636,803.0,46.0,17666.0
graph paper notebook,21,4948,512.0,61.0,10752.0
vintage notebook,17,1540,100.0,6.0,1700.0
leather cover notebook,23,2042,127.0,13.0,2921.0
travelers notebook,19,1814,249.0,18.0,4731.0
academic planner notebook,26,2415,205.0,18.0,5330.0
college ruled notebook,23,3838,566.0,42.0,13018.0
recycled paper notebook,24,2652,348.0,27.0,8352.0
recycled paper notebook,24,3665,481.0,37.0,11544.0
travelers notebook,19,1418,195.0,14.0,3705.0
vintage notebook,17,3356,218.0,13.0,3706.0
art sketchbook,15,4810,469.0,33.0,7035.0
spiral bound notebook,22,1863,323.0,19.0,7106.0
plain paper,12,1185,130.0,15.0,1560.0
waterproof notebook,20,1260,234.0,19.0,4680.0
academic planner notebook,26,2551,216.0,19.0,5616.0
personalized notebook,22,2296,371.0,47.0,8162.0
vintage notebook,17,3207,208.0,13.0,3536.0
plain paper,12,3917,429.0,49.0,5148.0
academic planner notebook,26,1761,149.0,13.0,3874.0
waterproof notebook,20,1223,227.0,18.0,4540.0
notebook with pockets,22,2279,444.0,31.0,9768.0
dotted grid notebook,21,1179,86.0,12.0,1806.0
notebook with pockets,22,3067,598.0,42.0,13156.0
notebook with pen holder,25,2647,254.0,35.0,6350.0
plain paper,12,1631,179.0,20.0,2148.0
academic planner notebook,26,4777,405.0,36.0,10530.0
large notebook,15,4539,435.0,31.0,6525.0
softcover notebook,19,4694,389.0,42.0,7391.0
graph paper notebook,21,4281,443.0,53.0,9303.0
college ruled notebook,23,2536,374.0,28.0,8602.0
vintage notebook,17,3105,202.0,12.0,3434.0
recycled paper notebook,24,4164,547.0,43.0,13128.0
dotted grid notebook,21,4292,313.0,45.0,6573.0
plain paper,12,3770,413.0,47.0,4956.0
hardcover notebook,19,2963,311.0,42.0,5909.0
leather cover notebook,23,4303,267.0,26.0,6141.0
spiral bound notebook,22,4845,839.0,49.0,18458.0
engineering notebook,21,4435,509.0,30.0,10689.0
spiral bound notebook,22,1614,280.0,16.0,6160.0
art sketchbook,15,1561,152.0,11.0,2280.0
spiral bound notebook,22,3421,593.0,34.0,13046.0
notebook with pockets,22,1621,316.0,22.0,6952.0
personalized notebook,22,4527,731.0,92.0,16082.0
notebook with pockets,22,3135,611.0,43.0,13442.0
recycled paper notebook,24,4091,537.0,42.0,12888.0
kids notebook,14,2013,252.0,13.0,3528.0
art sketchbook,15,3061,298.0,21.0,4470.0
art sketchbook,15,3180,310.0,22.0,4650.0
waterproof notebook,20,2960,550.0,45.0,11000.0
hardcover notebook,19,4879,511.0,69.0,9709.0
personalized notebook,22,2057,332.0,42.0,7304.0
spiral bound notebook,22,3939,682.0,39.0,15004.0
large notebook,15,4279,410.0,29.0,6150.0
engineering notebook,21,4884,560.0,33.0,11760.0
personalized notebook,22,4270,689.0,87.0,15158.0
vintage notebook,17,1591,103.0,6.0,1751.0
travelers notebook,19,1582,217.0,16.0,4123.0
kids notebook,14,4226,529.0,27.0,7406.0
graph paper notebook,21,2613,270.0,32.0,5670.0
hardcover notebook,19,2101,220.0,30.0,4180.0
hardcover notebook,19,4243,445.0,60.0,8455.0
college ruled notebook,23,1288,190.0,14.0,4370.0
travelers notebook,19,2568,353.0,26.0,6707.0
plain paper,12,4883,535.0,61.0,6420.0
waterproof notebook,20,4859,902.0,73.0,18040.0
plain paper,12,4060,445.0,50.0,5340.0
spiral bound notebook,22,3926,680.0,39.0,14960.0
notebook with pockets,22,2443,476.0,33.0,10472.0
large notebook,15,1006,96.0,7.0,1440.0
academic planner notebook,26,2183,185.0,16.0,4810.0
dotted grid notebook,21,1239,90.0,13.0,1890.0
vintage notebook,17,2986,194.0,12.0,3298.0
hardcover notebook,19,2446,256.0,34.0,4864.0
travelers notebook,19,3583,492.0,36.0,9348.0
engineering notebook,21,2749,315.0,18.0,6615.0
plain paper,12,3117,341.0,39.0,4092.0
hardcover notebook,19,2903,304.0,41.0,5776.0
waterproof notebook,20,3263,606.0,49.0,12120.0
engineering notebook,21,4175,479.0,28.0,10059.0
travelers notebook,19,4798,659.0,49.0,12521.0
large notebook,15,2077,199.0,14.0,2985.0
notebook with pockets,22,3853,751.0,53.0,16522.0
personalized notebook,22,3377,545.0,69.0,11990.0
hardcover notebook,19,1847,194.0,26.0,3686.0
softcover notebook,19,4274,355.0,38.0,6745.0
leather cover notebook,23,2311,144.0,14.0,3312.0
engineering notebook,21,3092,355.0,21.0,7455.0
graph paper notebook,21,3876,401.0,48.0,8421.0
college ruled notebook,23,3245,479.0,36.0,11017.0
leather cover notebook,23,2239,139.0,14.0,3197.0
large notebook,15,2504,240.0,17.0,3600.0
kids notebook,14,2332,292.0,15.0,4088.0
graph paper notebook,21,3943,408.0,49.0,8568.0
hardcover notebook,19,4506,472.0,63.0,8968.0
plain paper,12,3379,370.0,42.0,4440.0
large notebook,15,1695,162.0,12.0,2430.0
notebook with pockets,22,1026,200.0,14.0,4400.0
personalized notebook,22,4237,684.0,86.0,15048.0
art sketchbook,15,3365,328.0,23.0,4920.0
hardcover notebook,19,4345,455.0,61.0,8645.0
personalized notebook,22,4454,719.0,91.0,15818.0
softcover notebook,19,3412,283.0,30.0,5377.0
notebook with pen holder,25,4174,401.0,55.0,10025.0
waterproof notebook,20,1959,364.0,30.0,7280.0
notebook with pockets,22,2526,492.0,34.0,10824.0
notebook with pen holder,25,2868,275.0,38.0,6875.0
hardcover notebook,19,1372,144.0,19.0,2736.0
waterproof notebook,20,4687,870.0,71.0,17400.0
art sketchbook,15,2949,287.0,20.0,4305.0
engineering notebook,21,1244,143.0,8.0,3003.0
vintage notebook,17,2840,184.0,11.0,3128.0
large notebook,15,4240,406.0,29.0,6090.0
personalized notebook,22,4699,758.0,96.0,16676.0
large notebook,15,2676,257.0,18.0,3855.0
engineering notebook,21,4489,515.0,30.0,10815.0
waterproof notebook,20,4427,822.0,67.0,16440.0
hardcover notebook,19,3525,369.0,50.0,7011.0
waterproof notebook,20,1124,209.0,17.0,4180.0
vintage notebook,17,1536,100.0,6.0,1700.0
notebook with pockets,22,3753,732.0,51.0,16104.0
personalized notebook,22,2919,471.0,59.0,10362.0
engineering notebook,21,2635,302.0,18.0,6342.0
spiral bound notebook,22,2425,420.0,24.0,9240.0
dotted grid notebook,21,2540,185.0,27.0,3885.0
graph paper notebook,21,1530,158.0,19.0,3318.0
softcover notebook,19,4753,394.0,42.0,7486.0
plain paper,12,3833,420.0,48.0,5040.0
notebook with pen holder,25,1253,120.0,16.0,3000.0
travelers notebook,19,3168,435.0,32.0,8265.0
academic planner notebook,26,4103,348.0,31.0,9048.0
notebook with pockets,22,1660,324.0,23.0,7128.0
